,jour,nomReg,numReg,incid_rea
138,2020-08-04,Guadeloupe,1.0,0
139,2020-08-05,Guadeloupe,1.0,0
140,2020-08-06,Guadeloupe,1.0,0
141,2020-08-07,Guadeloupe,1.0,0
142,2020-08-08,Guadeloupe,1.0,2
143,2020-08-09,Guadeloupe,1.0,0
144,2020-08-10,Guadeloupe,1.0,0
145,2020-08-11,Guadeloupe,1.0,0
146,2020-08-12,Guadeloupe,1.0,0
147,2020-08-13,Guadeloupe,1.0,1
148,2020-08-14,Guadeloupe,1.0,0
149,2020-08-15,Guadeloupe,1.0,0
150,2020-08-16,Guadeloupe,1.0,0
151,2020-08-17,Guadeloupe,1.0,0
152,2020-08-18,Guadeloupe,1.0,1
153,2020-08-19,Guadeloupe,1.0,2
154,2020-08-20,Guadeloupe,1.0,2
155,2020-08-21,Guadeloupe,1.0,0
156,2020-08-22,Guadeloupe,1.0,2
157,2020-08-23,Guadeloupe,1.0,0
158,2020-08-24,Guadeloupe,1.0,0
159,2020-08-25,Guadeloupe,1.0,3
160,2020-08-26,Guadeloupe,1.0,0
161,2020-08-27,Guadeloupe,1.0,0
162,2020-08-28,Guadeloupe,1.0,0
163,2020-08-29,Guadeloupe,1.0,6
164,2020-08-30,Guadeloupe,1.0,0
165,2020-08-31,Guadeloupe,1.0,0
166,2020-09-01,Guadeloupe,1.0,4
167,2020-09-02,Guadeloupe,1.0,0
168,2020-09-03,Guadeloupe,1.0,2
169,2020-09-04,Guadeloupe,1.0,1
170,2020-09-05,Guadeloupe,1.0,4
171,2020-09-06,Guadeloupe,1.0,0
172,2020-09-07,Guadeloupe,1.0,0
173,2020-09-08,Guadeloupe,1.0,7
174,2020-09-09,Guadeloupe,1.0,5
175,2020-09-10,Guadeloupe,1.0,2
176,2020-09-11,Guadeloupe,1.0,3
177,2020-09-12,Guadeloupe,1.0,2
178,2020-09-13,Guadeloupe,1.0,0
179,2020-09-14,Guadeloupe,1.0,0
180,2020-09-15,Guadeloupe,1.0,10
181,2020-09-16,Guadeloupe,1.0,3
182,2020-09-17,Guadeloupe,1.0,5
183,2020-09-18,Guadeloupe,1.0,2
184,2020-09-19,Guadeloupe,1.0,3
185,2020-09-20,Guadeloupe,1.0,0
186,2020-09-21,Guadeloupe,1.0,0
187,2020-09-22,Guadeloupe,1.0,8
188,2020-09-23,Guadeloupe,1.0,2
189,2020-09-24,Guadeloupe,1.0,5
190,2020-09-25,Guadeloupe,1.0,5
191,2020-09-26,Guadeloupe,1.0,5
192,2020-09-27,Guadeloupe,1.0,0
193,2020-09-28,Guadeloupe,1.0,3
194,2020-09-29,Guadeloupe,1.0,6
195,2020-09-30,Guadeloupe,1.0,3
196,2020-10-01,Guadeloupe,1.0,2
197,2020-10-02,Guadeloupe,1.0,3
198,2020-10-03,Guadeloupe,1.0,4
199,2020-10-04,Guadeloupe,1.0,7
200,2020-10-05,Guadeloupe,1.0,0
201,2020-10-06,Guadeloupe,1.0,8
202,2020-10-07,Guadeloupe,1.0,2
203,2020-10-08,Guadeloupe,1.0,0
204,2020-10-09,Guadeloupe,1.0,3
205,2020-10-10,Guadeloupe,1.0,1
206,2020-10-11,Guadeloupe,1.0,4
207,2020-10-12,Guadeloupe,1.0,1
208,2020-10-13,Guadeloupe,1.0,3
209,2020-10-14,Guadeloupe,1.0,2
210,2020-10-15,Guadeloupe,1.0,6
211,2020-10-16,Guadeloupe,1.0,4
212,2020-10-17,Guadeloupe,1.0,2
213,2020-10-18,Guadeloupe,1.0,2
214,2020-10-19,Guadeloupe,1.0,2
215,2020-10-20,Guadeloupe,1.0,1
216,2020-10-21,Guadeloupe,1.0,1
217,2020-10-22,Guadeloupe,1.0,0
218,2020-10-23,Guadeloupe,1.0,1
219,2020-10-24,Guadeloupe,1.0,1
220,2020-10-25,Guadeloupe,1.0,1
221,2020-10-26,Guadeloupe,1.0,0
222,2020-10-27,Guadeloupe,1.0,0
223,2020-10-28,Guadeloupe,1.0,1
224,2020-10-29,Guadeloupe,1.0,2
225,2020-10-30,Guadeloupe,1.0,1
226,2020-10-31,Guadeloupe,1.0,1
